stock,effort,harvest,ds/dt,benefit,value
141000000,416019.9496,50942056.86,-18003592.8,73892501.25,1393149662
142000000,418343.7889,51459046.6,-18439141.87,74932826.13,1395702375
143000000,420664.1647,51977599.81,-18878397.58,75977902.28,1398248346
144000000,422981.1062,52497710.22,-19321353.67,77027708.33,1400787647
145000000,425294.6424,53019371.65,-19768003.96,78082223.17,1403320350
146000000,427604.8017,53542577.98,-20218342.33,79141425.9,1405846522
147000000,429911.612,54067323.17,-20672362.72,80205295.92,1408366232
148000000,432215.101,54593601.21,-21130059.15,81273812.82,1410879547
149000000,434515.2959,55121406.19,-21591425.69,82346956.45,1413386531
150000000,436812.2234,55650732.25,-22056456.48,83424706.89,1415887249
151000000,439105.9099,56181573.57,-22525145.72,84507044.44,1418381764
152000000,441396.3814,56713924.43,-22997487.66,85593949.62,1420870136
153000000,443683.6635,57247779.14,-23473476.63,86685403.17,1423352427
154000000,445967.7814,57783132.08,-23953107.01,87781386.06,1425828696
155000000,448248.7601,58319977.68,-24436373.22,88881879.45,1428299002
156000000,450526.624,58858310.44,-24923269.77,89986864.71,1430763401
157000000,452801.3974,59398124.9,-25413791.19,91096323.42,1433221950
158000000,455073.104,59939415.66,-25907932.09,92210237.37,1435674705
159000000,457341.7674,60482177.38,-26405687.13,93328588.51,1438121719
160000000,459607.4108,61026404.77,-26907051.01,94451359.02,1440563046
161000000,461870.057,61572092.59,-27412018.49,95578531.26,1442998740
162000000,464129.7286,62119235.64,-27920584.39,96710087.76,1445428850
163000000,466386.4477,62667828.8,-28432743.56,97846011.25,1447853430
164000000,468640.2364,63217866.97,-28948490.92,98986284.63,1450272527
165000000,470891.1163,63769345.11,-29467821.43,100130891,1452686192
166000000,473139.1087,64322258.23,-29990730.1,101279813.6,1455094472
167000000,475384.2347,64876601.39,-30517211.97,102433035.8,1457497416
168000000,477626.515,65432369.69,-31047262.17,103590541.4,1459895070
169000000,479865.9703,65989558.27,-31580875.82,104752313.9,1462287480
170000000,482102.6206,66548162.34,-32118048.13,105918337.4,1464674692
171000000,484336.4861,67108177.12,-32658774.34,107088595.9,1467056750
172000000,486567.5864,67669597.91,-33203049.72,108263073.6,1469433699
173000000,488795.9411,68232420.02,-33750869.6,109441755.1,1471805581
174000000,491021.5692,68796638.82,-34302229.35,110624624.7,1474172439
